Created-At;From-User;Text;Id;Sentimen
02/11/2022 22.47;ra;Keluar anjir pihak dyandra global gak ada tanggung jawabnya banget, gedeg banget sama ini promotor https://t.co/d3bVnzIT7j;1,59E+18;Negatif
03/11/2022 13.15;JAKEY GF // free tag ?$TTC;@SMTOWN_JKT Dyandra global mantep Gini ya pelayanannya;1,59E+18;Positif
03/11/2022 22.48;sa ?;RT @RolandaHapsari4: @nct_menfess Dyandra global kayaknya yang sediain, coba liat reelsnya Dyandra global deh https://t.co/FiQj4VJ5jG;1,59E+18;Positif
03/11/2022 23.06;?????? ?;Dyandra Global udah bagus nih,, btw, yang gak nonton bisa numpang foto gak sih?? lucu banget LS raksasanya, pengin foto di situ,, https://t.co/P2tomwrXBK;1,59E+18;Positif
04/11/2022 06.50;Blibli Care;@johnnysuhcrush Untuk pemeriksaan bakal ada di area bag check ya kak, bisa dilihat denahnya di official IG dyandra global ^^;1,59E+18;Positif
04/11/2022 18.17;kumparan;Dyandra Global Edutainment juga mengatakan bahwa saat itu situasi di lokasi sudah aman terkendali, bahkan, tidak ditemukan adanya hal-hal yang mencurigakan. #kumparanKPOP https://t.co/C6XJsZVz6R;1,59E+18;Positif
04/11/2022 18.40;kumparan;Pihak promotor konser KPop @NCTsmtown_127, Dyandra Global Edutainment menegaskan, konser akan tetap berjalan normal, dan menyebut kabar terkait teror ancaman bom di lokasi konser adalah hoaks. #dailyupdate #4nov #oneliner https://t.co/lnKCQERZfb https://t.co/JLUgiFvIo6;1,59E+18;Positif
04/11/2022 22.44;Ida Ayu Dhama Tirtha Amrta;Lagian promotor ada-ada aja deh gak pakai QN, udah tau orang Indonesia suka nekat kalau tekadnya udah bulat @ Dyandra Global;1,59E+18;Negatif
05/11/2022 06.37;delik.news;Taeyong dan Doyoung Sempat Ingatkan Penggemar Tidak Berdesakan di Area Depan Panggung, Dyandra Global Edutainment Minta Maaf - https://t.co/Oj8DtCg5VS https://t.co/jvxyNQroWb;1,59E+18;Positif
05/11/2022 07.24;inilahcom;Promotor Dyandra Global Edutainment menyampaikan permohonan maaf atas dihentikannya konser NCT 127 2ND Tour “NEO CITY: JAKARTA – THE LINK” di ICE BSD City, Tangerang, pada Jumat (4/11) malam. Melalui laman Instagram, Dyandra menyatakan keputusan… https://t.co/IJhePgiFxa;1,59E+18;Positif
05/11/2022 08.13;Kompas.com;Kami meminta maaf untuk para penonton day 1 NCT 127 karena tidak bisa menikmati konser hingga akhir', kata promotor Dyandra Global. https://t.co/B04D6RiAXP;1,59E+18;Positif
05/11/2022 08.15;matamatadotcom;Beruntung tidak ada korban jiwa dalam kejadian tersebut. Dyandra Global Entertainment pun meminta maaf kepada penonton NCT 127 di hari pertama. https://t.co/mOp74vVoJQ;1,59E+18;Positif
05/11/2022 10.12;Kompas.com;Kami berharap untuk para penonton day 2 untuk dapat terus menjaga prosedur keselamatan selama acara', kata Dyandra Global, promotor konser NCT 127. https://t.co/DqlhxK1c6M;1,59E+18;Positif
05/11/2022 10.30;kumparan;Konser hari kedua NCT 127 di Jakarta akan tetap berlanjut sesuai jadwal yang sudah ditentukan. Informasi ini dibagikan langsung oleh pihak promotor Dyandra Global Edutainment di laman media sosial resmi Instagramnya. #focus #ricuhkonser #oneliner #nct127 https://t.co/LPdmPr15cs https://t.co/5dL3xvGWU8;1,59E+18;Positif
05/11/2022 10.54;Youth Suara Surabaya;Pihak Promotor Dyandra Global Edutainment menyampaikan permohonan maaf atas dihentikannya konser boygroup asal Korea Selatan tersebut.;1,59E+18;Positif
05/11/2022 14.11;?;@i99male Dyandra global beneran handle their job very well, penontonnya aja yang rusuh :(;1,59E+18;Positif
05/11/2022 14.26;detikhot;Dyandra Global Edutainment sebagai promotor konser NCT 127 2nd Tour ‘NEO CITY JAKARTA-THE LINK’ meminta maaf kepada semua pihak atas kejadian di hari pertama. Dan akan memperketat pengamanan untuk konser hari kedua. https://t.co/spTOGY8nL1;1,59E+18;Positif
05/11/2022 15.12;ubie;jujur dyandra global BAGUS banget servicenya, thank you . gue beneran diassist dari awal masuk gate sampai mau antri di queue line. Guardnya yang standby di festival section responsif tapi gak galak & rese, malah super sabar dan gak nyinyir. ?????????? @DyandraGlobal https://t.co/q6OdSBNhuR;1,59E+18;Positif
05/11/2022 19.08;syaaa| rest buy;oh ya thank you juga buat pihak dyandra global buat kerja kerasnya ngebujuk pihak sana sini demi kami, makasih juga buat polisi setempat karena udah mau menjaga kekondusifan konser day 2 ini THANK YOU;1,59E+18;Positif
05/11/2022 21.13;?;@DyandraGlobal THANK YOU SO SO SO MUCH DYANDRA GLOBAL & staf? makasih juga untuk polisi dan orang baik lainnya yang udah berkontribusi dan terlibat, thank you thank you thank you?;1,59E+18;Positif
05/11/2022 21.17;yiva?;Tapi jujur khawatir banget ke misse & dyandra global team. semoga selesai acara the link, any good things di setiap hari anda bakalan datang???;1,59E+18;Positif
05/11/2022 21.43;Rere?;@DyandraGlobal Thank you so so untuk Dyandra global team. terima kasih kerja kerasnya, acaranya seru sekali ? see u another project;1,59E+18;Positif
05/11/2022 22.04;?????;MAKASIH BANYAK BUAT DYANDRA GLOBAL, POLISI, SECURITY, DAN SEMUA staf???????????? https://t.co/Tc19E4WVNJ;1,59E+18;Positif
05/11/2022 23.12;Ann sudah ketemu Jaehyun ?;@DyandraGlobal terima kasih dyandra makasih banyak ??? terima kasih seluruh staf atas kerja kerasnya selamat istirahat ?;1,59E+18;Positif
05/11/2022 23.17;caca;sumpah THANK YOU banget DYANDRA!!!!????;1,59E+18;Positif
05/11/2022 23.19;?????;jujur keren banget dyandra, day2 semua langsung oke banget. thank you gitu. https://t.co/ktwnVTGNas;1,59E+18;Positif
05/11/2022 23.21;uty;dimulai dari antri jam 6.45 dibawah pohon rindang ini sampe jam 8.45, petugas dyandra juga tertib menanyakan antrian mana yang lebih dulu ke sijeuni, jadi semua adil https://t.co/P2RKFz3NR0;1,59E+18;Positif
05/11/2022 23.23;????;@Cipapapaw @_dnghyckieee bantu jawab. dyandra itu promotornya konser nct ini kak;1,59E+18;Positif
05/11/2022 23.23;aca;RT @NARyznn: NCTzen thank you untuk hari ini kalian luar biasa!!!!! ?Thank You Dyandra too!!!? Makasih kalian udah buat Member NCT 127 senang…;1,59E+18;Positif
05/11/2022 23.23;"????; marklee au ?";terharu!! KALIAN KEREN BANGETTT!!!! THANK YOU DYANDRA & NCT 127 ?? aku gak bakal berhenti ucapin makasih buat NCT 127, Dyandra, dan juga NCTZENS yang udah nurut sama aturan!!! KALIAN KEREN SEMUA KALIAN HEBAT ????????? &&&& SAFE FLIGHT JUGA buat member LOVE Y'ALL ???;1,59E+18;Positif
05/11/2022 23.24;Jung;RT @loey_jd: @roobiatul Loh sejak kapan dyandra pake qn? Dyandra gak pake qn dari dulu. Tapi konser yang udah tertib aja tuh gak kayak gini.;1,59E+18;Negatif
05/11/2022 23.24;M;ngeliat konser Day 2 tadi dan member beneran happy banget jadi seneng liatnya, terima kasih buat dyandra dan staf, para anggota kepolisian dan juga sijeuni yang sudah tertib dri awal acara sampai akhir. kalian semua hebat;1,59E+18;Positif
05/11/2022 23.25;KEPO;@DyandraGlobal gue bukan nctzen tapi I just wanted to say thank you. Team Dyandra gercep ngatasin lika-liku selama 2 hari ini. Jujur kalo masalah ini gak gercep diatasi mungkin indonesia bakalan di cap buruk dan dampaknya gak cuma 1 atau 2 idol lain.;1,59E+18;Positif
05/11/2022 23.28;hdgurlee??;konser hari ini lancar semua kok. fans juga aman gak sikut-sikutan gak angkat hp tinggi lebih tinggi lsnya karaokean bareng dan bisa joget-joget dan staf dyandra baik banget banget.;1,59E+18;Positif
05/11/2022 23.29;kanay;DAY 2 Alhamdulillah lancar aman tertib dan tentunya seru!!! Makasih dyandra, makasih sijeuni, makasih para staf, makasih buat semuanya yang udah terlibat, makasih juga buat illichil ????;1,59E+18;Positif
05/11/2022 23.32;ai¹?;@DyandraGlobal terima kasih JUGA DYANDRA KAMU KEREN HUA SAYANG SEMOGA GAK KAPOK YA KEREN POKOKNYA LOVE YOU???;1,59E+18;Positif
05/11/2022 23.34;alee?;@lov4rj Iya aku sabar gak papa biar aja dyandra menanggung dosa kita semua karena tersolimi?;1,59E+18;Negatif
05/11/2022 23.34;sepaa? ?? • freebies bets?;Gue akuin dyandra kali ini kerjanya bener. Gercep banget? kalo kemarin misal dipaksain tetep lanjut konser, gak tau deh bakal nambah berapa banyak korban:(( soon ada qn, sama harus lebih bagus lagi ya?? love you?? https://t.co/NcKiASlQ12;1,59E+18;Positif
05/11/2022 23.35;Mutia;tapi sumpah salut banget sama stafnya Dyandra. Gercep + ramah banget, sering bagi minum bahkan sampe masuk ke barisan bawa kardus minum. They help us a lot. Thank youuu???;1,59E+18;Positif
05/11/2022 23.37;THANK YOU URICHIL;@DyandraGlobal BIG THANK YOU FOR DYANDRA TEAM, terima kasih SUDAH BAWA BUJANG KU KESINI, SEMOGA KALIAN SEMUA LANCAR REZEKI DAN LEBIH BAIK LAGI YA!! jujur dari rumor bom itu, sumpah sigap banget!!!;1,59E+18;Positif
05/11/2022 23.41;zerrrrr??;BIG THANKS JUGA BUAT DYANDRA TEAM;1,59E+18;Positif
05/11/2022 23.41;rara kinda ia;special thanks to misse & dyandra and also polisi yang ngejaga supaya konser tetap tertib;1,59E+18;Positif
05/11/2022 23.42;Al;@DyandraGlobal terima kasih banyak Dyandra team. Walaupun aku belum berkesempatan hadir disana, tapi aku juga ikut seneng semua berjalan baik hari ini. Semangat terus ??;1,59E+18;Positif
05/11/2022 23.42;chressen;@DyandraGlobal terima kasih Dyandra, cowokku happy semua, urichill juga kelihatannya happy semua bahkan yang nonton di rumah kayak aku juga ikut happy;1,59E+18;Positif
05/11/2022 23.42;LEOYLIE;Gak mau muji cuma mau apresiasi aja karena untuk tahun ini DYANDRA memang the best lah karena penanganan hoax bom cepat sampe polisi juga turun tangan, lalu bertindak benar untuk menghentikan konser karena orang pada pingsan, dan memberi minum baik yang di dalam dan di luar.;1,59E+18;Positif
05/11/2022 23.43;Ester;@DyandraGlobal Thank you, Dyandra Global udah nambahin hari buat The Link. Meskipun tetep susah banget buat dapetin tiketnya, tetep thank you. Semoga kedepannya ticketing makin lancar, sama untuk standing dipakein QN. or even better, kalo semua section seating.;1,59E+18;Positif
